HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-02 15:17:42.077,2015-11-02 15:17:39.885,2015-11-02 15:17:42.041,2 mph,l13011419151518,2015-11-02 15:17:39.885,,
2015-11-02 15:30:35.965,2015-11-02 15:17:44.662,2015-11-02 15:30:35.960,Biking,l13011419151518,2015-11-02 15:17:44.662,,
2015-11-02 15:30:35.972,2015-11-02 15:17:45.511,2015-11-02 15:30:35.960,Outdoors,l13011419151518,2015-11-02 15:17:45.511,,
2015-11-02 15:35:25.181,2015-11-02 15:31:03.929,2015-11-02 15:35:25.176,Outdoors,l13011419151518,2015-11-02 15:31:03.929,,
2015-11-02 15:35:25.191,2015-11-02 15:31:07.922,2015-11-02 15:35:25.176,Frisbee,l13011419151518,2015-11-02 15:31:07.922,,
2015-11-02 15:35:25.198,2015-11-02 15:31:25.785,2015-11-02 15:35:25.176,Walking,l13011419151518,2015-11-02 15:31:25.785,,
2015-11-02 15:36:55.733,2015-11-02 15:36:31.675,2015-11-02 15:36:55.727,Walking,l13011419151518,2015-11-02 15:36:31.675,,
2015-11-02 15:37:16.041,2015-11-02 15:36:53.018,2015-11-02 15:37:16.033,Escalator,l13011419151518,2015-11-02 15:36:53.018,,
2015-11-02 15:37:16.050,2015-11-02 15:36:54.315,2015-11-02 15:37:16.033,Up,l13011419151518,2015-11-02 15:36:54.315,,
2015-11-02 15:37:16.058,2015-11-02 15:36:55.736,2015-11-02 15:37:16.033,Standing,l13011419151518,2015-11-02 15:36:55.736,,
2015-11-02 15:38:08.716,2015-11-02 15:37:52.832,2015-11-02 15:38:08.710,Walking,l13011419151518,2015-11-02 15:37:52.832,,
2015-11-02 15:38:24.848,2015-11-02 15:38:08.015,2015-11-02 15:38:24.843,Escalator,l13011419151518,2015-11-02 15:38:08.015,,
2015-11-02 15:38:24.857,2015-11-02 15:38:08.719,2015-11-02 15:38:24.843,Standing,l13011419151518,2015-11-02 15:38:08.719,,
2015-11-02 15:38:24.865,2015-11-02 15:38:09.818,2015-11-02 15:38:24.843,Down,l13011419151518,2015-11-02 15:38:09.818,,
2015-11-02 15:38:41.286,2015-11-02 15:38:28.453,2015-11-02 15:38:41.281,Telling Story,l13011419151518,2015-11-02 15:38:28.453,,
2015-11-02 15:39:32.864,2015-11-02 15:38:40.888,2015-11-02 15:39:32.860,Phone Talking,l13011419151518,2015-11-02 15:38:40.888,,
2015-11-02 15:41:43.806,2015-11-02 15:38:25.796,2015-11-02 15:41:43.786,Walking,l13011419151518,2015-11-02 15:38:25.796,,
2015-11-02 15:41:50.833,2015-11-02 15:39:32.468,2015-11-02 15:41:50.829,Telling Story,l13011419151518,2015-11-02 15:39:32.468,,
2015-11-02 15:42:04.408,2015-11-02 15:41:30.658,2015-11-02 15:42:04.402,MBTA,l13011419151518,2015-11-02 15:41:30.658,,
2015-11-02 15:42:04.414,2015-11-02 15:41:43.277,2015-11-02 15:42:04.402,Escalator,l13011419151518,2015-11-02 15:41:43.277,,
2015-11-02 15:42:04.420,2015-11-02 15:41:43.821,2015-11-02 15:42:04.402,Standing,l13011419151518,2015-11-02 15:41:43.821,,
2015-11-02 15:42:04.431,2015-11-02 15:41:45.357,2015-11-02 15:42:04.402,Up,l13011419151518,2015-11-02 15:41:45.357,,
2015-11-02 15:42:07.405,2015-11-02 15:42:06.642,2015-11-02 15:42:07.389,supported,l13011419151518,2015-11-02 15:42:06.642,,
2015-11-02 15:42:33.036,2015-11-02 15:42:05.854,2015-11-02 15:42:33.030,Walking,l13011419151518,2015-11-02 15:42:05.854,,
2015-11-02 15:42:33.044,2015-11-02 15:42:07.689,2015-11-02 15:42:33.030,MBTA,l13011419151518,2015-11-02 15:42:07.689,,
2015-11-02 15:42:33.051,2015-11-02 15:42:16.195,2015-11-02 15:42:33.030,Stairs,l13011419151518,2015-11-02 15:42:16.195,,
2015-11-02 15:42:33.059,2015-11-02 15:42:16.791,2015-11-02 15:42:33.030,Down,l13011419151518,2015-11-02 15:42:16.791,,
2015-11-02 15:44:31.049,2015-11-02 15:44:30.568,2015-11-02 15:44:31.044,Carrying Drinking,l13011419151518,2015-11-02 15:44:30.568,,
2015-11-02 15:46:33.757,2015-11-02 15:42:33.570,2015-11-02 15:46:33.751,Walking,l13011419151518,2015-11-02 15:42:33.570,,
2015-11-02 15:46:33.772,2015-11-02 15:42:35.169,2015-11-02 15:46:33.751,Outdoors,l13011419151518,2015-11-02 15:42:35.169,,
2015-11-02 15:46:33.782,2015-11-02 15:44:34.204,2015-11-02 15:46:33.751,Bag,l13011419151518,2015-11-02 15:44:34.204,,
2015-11-02 15:46:56.709,2015-11-02 15:46:53.858,2015-11-02 15:46:56.700,Escalator,l13011419151518,2015-11-02 15:46:53.858,,
2015-11-02 15:46:58.292,2015-11-02 15:46:38.314,2015-11-02 15:46:58.280,Telling Story,l13011419151518,2015-11-02 15:46:38.314,,
2015-11-02 15:46:59.656,2015-11-02 15:46:34.667,2015-11-02 15:46:59.644,Walking,l13011419151518,2015-11-02 15:46:34.667,,
2015-11-02 15:47:21.618,2015-11-02 15:46:36.288,2015-11-02 15:47:21.613,Bag,l13011419151518,2015-11-02 15:46:36.288,,
2015-11-02 15:47:21.624,2015-11-02 15:46:57.202,2015-11-02 15:47:21.613,Elevator,l13011419151518,2015-11-02 15:46:57.202,,
2015-11-02 15:47:21.632,2015-11-02 15:46:59.676,2015-11-02 15:47:21.613,Standing,l13011419151518,2015-11-02 15:46:59.676,,
2015-11-02 15:47:21.639,2015-11-02 15:47:02.555,2015-11-02 15:47:21.613,Up,l13011419151518,2015-11-02 15:47:02.555,,
2015-11-02 15:47:39.190,2015-11-02 15:47:22.510,2015-11-02 15:47:39.183,Walking,l13011419151518,2015-11-02 15:47:22.510,,
2015-11-02 15:48:16.940,2015-11-02 15:48:07.565,2015-11-02 15:48:16.935,Standing,l13011419151518,2015-11-02 15:48:07.565,,
2015-11-02 15:48:39.094,2015-11-02 15:48:09.957,2015-11-02 15:48:39.064,Shelf Unload,l13011419151518,2015-11-02 15:48:09.957,,
2015-11-02 15:48:39.114,2015-11-02 15:48:16.943,2015-11-02 15:48:39.064,Walking,l13011419151518,2015-11-02 15:48:16.943,,
2015-11-02 15:49:25.018,2015-11-02 15:48:39.930,2015-11-02 15:49:24.988,Walking,l13011419151518,2015-11-02 15:48:39.930,,
2015-11-02 15:49:25.043,2015-11-02 15:48:41.219,2015-11-02 15:49:24.988,Shelf Reload,l13011419151518,2015-11-02 15:48:41.219,,
2015-11-02 15:51:00.941,2015-11-02 15:49:46.672,2015-11-02 15:51:00.937,Lying,l13011419151518,2015-11-02 15:49:46.672,,
2015-11-02 15:52:30.221,2015-11-02 15:52:28.794,2015-11-02 15:52:30.215,Sweeping,l13011419151518,2015-11-02 15:52:28.794,,
2015-11-02 15:54:31.483,2015-11-02 15:51:12.640,2015-11-02 15:54:31.479,Sitting,l13011419151518,2015-11-02 15:51:12.640,,
2015-11-02 15:54:31.492,2015-11-02 15:52:42.977,2015-11-02 15:54:31.479,Telling Story,l13011419151518,2015-11-02 15:52:42.977,,
2015-11-02 15:55:45.910,2015-11-02 15:54:32.678,2015-11-02 15:55:45.903,Reclining,l13011419151518,2015-11-02 15:54:32.678,,
2015-11-02 15:55:45.917,2015-11-02 15:54:37.452,2015-11-02 15:55:45.903,Texting,l13011419151518,2015-11-02 15:54:37.452,,
2015-11-02 15:58:00.197,2015-11-02 15:56:13.045,2015-11-02 15:58:00.192,Biking,l13011419151518,2015-11-02 15:56:13.045,,
2015-11-02 15:58:00.204,2015-11-02 15:56:17.056,2015-11-02 15:58:00.192,300 KPM/Min,l13011419151518,2015-11-02 15:56:17.056,,
2015-11-02 15:59:44.781,2015-11-02 15:58:45.151,2015-11-02 15:59:44.771,1 mph,l13011419151518,2015-11-02 15:58:45.151,,
2015-11-02 16:00:43.862,2015-11-02 15:58:43.537,2015-11-02 15:59:59.999,Walking,l13011419151518,2015-11-02 15:58:43.537,,
2015-11-02 16:00:43.898,2015-11-02 15:58:43.953,2015-11-02 15:59:59.999,Treadmill,l13011419151518,2015-11-02 15:58:43.953,,
2015-11-02 16:00:43.927,2015-11-02 15:58:50.177,2015-11-02 15:59:59.999,Arms On Desk,l13011419151518,2015-11-02 15:58:50.177,,
2015-11-02 16:00:43.947,2015-11-02 15:59:44.785,2015-11-02 15:59:59.999,2 mph,l13011419151518,2015-11-02 15:59:44.785,,
